experiment,variant,evaluation_set,records,strict_complete_match_rate,schema_equivalent_complete_match_rate,executable_complete_match_rate,complete_call_f1,complete_call_precision,complete_call_recall,function_name_f1,function_name_precision,function_name_recall,average_argument_value_accuracy,schema_validation_success_rate,protocol_clean_response_rate,no_tool_false_positive_rate,missing_call_count,extra_call_count,malformed_tool_call_count,peak_reserved_vram_gb,peak_allocated_vram_gb,training_duration_seconds,training_gpu_hours,notes
exp-02,bf16-deterministic,no_tool_dev,100,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,4.859375,4.357659816741943,,,1K development evaluation for feasibility matrix.
exp-02,bf16-deterministic,tool_dev,1000,0.695,0.719,0.715,,0.8017543859649123,0.7591362126245847,,0.9888888888888889,0.9363233665559247,,,,,,,,7.14453125,6.583809852600098,,,1K development evaluation for feasibility matrix.
exp-02,bf16-sampling,no_tool_dev,100,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,4.955078125,4.414015769958496,,,1K development evaluation for feasibility matrix.
exp-02,bf16-sampling,tool_dev,1000,0.694,0.72,0.716,,0.8001172332942555,0.7558139534883721,,0.988862837045721,0.9341085271317829,,,,,,,,7.14453125,6.583809852600098,,,1K development evaluation for feasibility matrix.
exp-02,nf4-deterministic,no_tool_dev,100,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,2.755859375,2.3943943977355957,,,1K development evaluation for feasibility matrix.
exp-02,nf4-deterministic,tool_dev,1000,0.567,0.593,0.591,,0.7701072386058981,0.6362126245847176,,0.9845844504021448,0.8133997785160576,,,,,,,,4.94921875,4.634309768676758,,,1K development evaluation for feasibility matrix.
exp-03,bf16_lora_r8_alpha16_attention,tool_dev,1000,0.725,0.75,0.742,0.810435747987788,0.8124652198107958,0.8084163898117387,0.9797391063003054,0.9821925431274346,0.9772978959025471,0.9228463510049918,0.9569405099150141,,,41,32,2,,,,,Original reference LoRA on 1K dev set.
exp-03,bf16_lora_r8_alpha16_attention,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,105,2,,,,,Shows severe no-tool regression.
exp-04,nf4_qlora_r8_alpha16_attention,no_tool_dev,100,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,2.27734375,2.198047637939453,,,QLoRA matched-token-budget run.
exp-04,nf4_qlora_r8_alpha16_attention,tool_dev,1000,0.731,0.753,0.747,,0.8094707520891364,0.8045404208194906,,0.9766016713091922,0.9706533776301218,,,,,,,,5.53125,4.647249221801758,,,QLoRA matched-token-budget run.
exp-05b,full_sft_no_tool_dev,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,109,0,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-05b,full_sft_tool_dev,tool_dev,1000,0.776,0.796,0.789,0.845749099972307,0.845983379501385,0.845514950166113,0.9831071725283855,0.9833795013850416,0.9828349944629015,0.9371616364855799,,,,31,30,0,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-05b,lora_no_tool_dev,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,105,2,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-05b,lora_tool_dev,tool_dev,1000,0.725,0.75,0.742,0.810435747987788,0.8124652198107958,0.8084163898117387,0.9797391063003054,0.9821925431274346,0.9772978959025471,0.9228463510049918,,,,41,32,2,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-05b,qlora_no_tool_dev,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,102,0,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-05b,qlora_tool_dev,tool_dev,1000,0.731,0.753,0.747,0.8069980560955291,0.8094707520891364,0.8045404208194906,0.9736184393224103,0.9766016713091922,0.9706533776301218,0.9228180262407303,,,,53,42,1,,,,,"Method comparison table: LoRA, QLoRA, full SFT."
exp-06,lora_rank4_alpha8_attention,validation,5001,0.7708458308338332,0.7984403119376124,0.7880423915216956,0.8342988242041869,0.8353049270701735,0.833295142071494,0.9873243475767135,0.9885149879407373,0.9861365719523373,0.9167704028282653,0.9654932032066922,0.9972005598880224,,121,100,14,,,,,Full validation rank sweep.
exp-06,lora_rank4_alpha8_attention,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,,0,71,0,,,,,Full validation rank sweep.
exp-06,lora_rank8_alpha16_attention,validation,5001,0.7480503899220156,0.77124575084983,0.7634473105378924,0.8172043010752688,0.8202701142791181,0.8141613198900092,0.9843022252889426,0.9879949209280849,0.9806370302474794,0.9121786312375183,0.9595747166725085,0.9974005198960207,,169,104,13,,,,,Full validation rank sweep.
exp-06,lora_rank8_alpha16_attention,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,,0,105,2,,,,,Full validation rank sweep.
exp-06,lora_rank16_alpha32_attention,validation,5001,0.7128574285142971,0.7390521895620876,0.7324535092981403,0.7880771881461062,0.7900736987563335,0.7860907424381302,0.9786354238456237,0.981114693689544,0.9761686526122824,0.8939450592443567,0.9484741784037559,0.9982003599280144,,208,164,9,,,,,Full validation rank sweep.
exp-06,lora_rank16_alpha32_attention,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,,0,103,1,,,,,Full validation rank sweep.
exp-07,lora_attention,validation,5001,0.7708458308338332,0.7984403119376124,0.7880423915216956,0.8342988242041869,0.8353049270701735,0.833295142071494,0.9873243475767135,0.9885149879407373,0.9861365719523373,0.9167704028282653,0.9654932032066922,0.9972005598880224,,121,100,14,,,,,Attention-only versus attention+MLP target placement.
exp-07,lora_attention,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0,71,0,,,,,Attention-only versus attention+MLP target placement.
exp-07,lora_attention_mlp,validation,5001,0.7674465106978604,0.7900419916016796,0.7806438712257548,0.8273009307135469,0.8296842590458631,0.8249312557286893,0.9866712627829484,0.9895137128370592,0.9838450962419798,0.9150357406267526,0.9652963782461861,0.998000399920016,,141,91,10,,,,,Attention-only versus attention+MLP target placement.
exp-07,lora_attention_mlp,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,0,105,1,,,,,Attention-only versus attention+MLP target placement.
exp-08,train_2k,validation,5001,0.7394521095780844,0.7710457908418317,0.7618476304739052,0.8102428661652409,0.8120612268385314,0.8084326306141155,0.9870815869552736,0.9892968120612269,0.9848762603116407,0.907103248465513,0.9584690553745928,0.9986002799440112,,132,93,7,42.826172,14.76716,889.46623104,0.24707395306666668,One epoch per dataset size.
exp-08,train_2k,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,104,0,42.826172,14.76716,889.46623104,0.24707395306666668,One epoch per dataset size.
exp-08,train_10k,validation,5001,0.7708458308338332,0.7984403119376124,0.7880423915216956,0.8342988242041869,0.8353049270701735,0.833295142071494,0.9873243475767135,0.9885149879407373,0.9861365719523373,0.9167704028282653,0.9654932032066922,0.9972005598880224,,121,100,14,34.292969,14.765775,1371.801816206,0.3810560600572222,One epoch per dataset size.
exp-08,train_10k,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0,71,0,34.292969,14.765775,1371.801816206,0.3810560600572222,One epoch per dataset size.
exp-08,train_full,validation,5001,0.7924415116976604,0.8170365926814637,0.8074385122975405,0.8515181082477187,0.8531339850488787,0.8499083409715857,0.9853641737932618,0.9872340425531915,0.9835013748854262,0.929374140150004,0.967148182665424,0.998000399920016,,144,111,10,33.480469,14.765775,3065.4827131989996,0.851522975888611,One epoch per dataset size.
exp-08,train_full,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0,105,2,33.480469,14.765775,3065.4827131989996,0.851522975888611,One epoch per dataset size.
exp-09a,assistant_only_short,validation_slice,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1612,0,0,,,,,300-step masking ablation; diagnostic only.
exp-09a,assistant_only_short,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,,,,300-step masking ablation; diagnostic only.
exp-09a,full_sequence_short,validation_slice,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1612,0,0,,,,,300-step masking ablation; diagnostic only.
exp-09a,full_sequence_short,no_tool_dev,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,,,,300-step masking ablation; diagnostic only.
